,title,date,content
67,앜ㅋㅋ 만일 내가 5일전에 펄어비스 주가 샀다면...,6시간 전,"7만원 > 102,000원 거의 45% 증가한건뎈ㅋㅋㅋㅋ 아놬ㅋㅋㅋ 그런데 이런경우 특.... 겜출시하고 기대치 충족 못하면 수직하강함.... 겜주식은 개쩌는 트레일러 공개되면 바로 샀다가 출시직전에 파는게 게이 득일듯..."
68,"펄어비스 출시 예정 게임, 도깨비(dokev) 신규 트레일러",5일 전,"도깨비(dokev)는 2019 지스타에서 처음 출시를 발표한, 펄어비스 게임사의 도깨비(dokev)가 신규 트레일러를 공개했다 이번 트레일러는 지스타 영상과는 다르게 플레이 영상위주! 캐주얼한 느낌에 MMORPG..."
69,펄어비스 도깨비 (DokeV) 첫 공개 게임 플레이 트레일러 영상,5일 전,펄어비스 도깨비 (DokeV) 첫 공개 게임플레이 트레일러 영상 펄어비스에서 개발 및 배급하는 3인칭 오픈월드 액션 어드벤터 게임입니다 2021년 8월26일 게임스컴 오프닝 나이트 라이브 2021에서 도깨비(DokeV) 게임플레이...
70,"GTA 순한맛? 펄어비스 도깨비 게임 출시일 2022년, 기대되는 국산게임",2일 전,"많은 이들의 기대감이 반영된 덕분일까요, 펄어비스 주가는 도깨비 플레이 영상이 공개된 직후 수직 상승하였습니다. 바로 며칠 전에 NC소프트가 방만한 서비스로 유저들의 빈축을 샀던 것과 비교하면 대조적인 부분이죠...."
71,펄어비스 도깨비 흥행 열풍 주가는 어떻게 될까?,4일 전,펄어비스 도깨비 흥행 열풍 주가는 어떻게 될까? 펄어비스 도깨비가 요즘 흥하고 있습니다. 펄어비스 도깨비는 제가 볼 때 하나의 예술 작품 같았습니다. 기존의 펄어비스에서 개발한 게임들을 먼저 보시죠 https...
72,"펄어비스 도깨비, 게임스컴 트레일러 대공개와 놀라운 퀄리티",5일 전,몇년전부터 기대를 모았던 펄어비스의 신작 '도깨비'가 게임스컴에서 플레이영상이 공개가 되었다. 일부에서는 잼민이 GTA라고 불리는데 그렇게 쉽게 평가하기에는 이번에 공개된 영상의 게임 퀄리티가 장난이 아니다....
73,"펄어비스 '도깨비' 전세계 깜짝…""GTA가 포켓몬 만난 것 같다""",2일 전,게임 트레일러 공개 후 해외 미디어들은 아기자기한 애니메이션 그래픽을 포켓몬스터와 픽사를 비교했고 이동수단을 타고 게임 자유도를 누리는 장면을 보고 'GTA for Kids'라는 별명을 붙였다. 사운드와 자체...
74,다른겜이랑 콜라보 해달라는 글은 왜 삭제하는거냐?,4일 전,삭제하는 이유가? 콜라보해서 펄어비스 도깨비에 빛아크 넣어줘 유튜브 링크단게 문제였나?
75,펄어비스 기대작 메타버스 게임 도깨비 새 트레일러 공개,5일 전,펄어비스 메타버스 오픈월드 수집형 액션 어드벤처 게임 '도깨비'. /펄어비스 제공 26일 펄어비스에 따르면 게임 도깨비는 주인공이 도깨비(몬스터)를 찾아 모험을 떠나는 스토리를 메타버스 오픈월드에 구현한 게임으로...
76,기대작 펄어비스 신작 게임 '도깨비' (트레일러),어제,출처 - 펄어비스 도깨비 홈페이지 8월 26일에 펄어비스에서 도깨비 트레일러를 공개했다 19년 11월 지스타에서 프로젝트 발표했다고 하는데 당시에는 신경을 안썼는데 트레일러 발표 후 한국적인 요소와 그래픽...
77,출시 딱대,5일 전,https://www.youtube.com/watch?v=0AyxckBXTlo 그래서 언제 출시하냐 빨리 내놔 3n이 똥겜 뽑을때 제대로된 겜 만드네 펄어비스 칭찬해
78,어제 신작 게임 공개한 두 게임 회사의 주식 근황,4일 전,naver.com/girlsfrontlinekr/4291502 )을 꼭 확인해주세요! ---------------------------------------- 펄어비스 도깨비 트레일러 영상 공개 후 nc의 블레이드앤소울2 모바일 정식 오픈
79,게임사가 수익을 재투자 하는 올바른 예,5일 전,https://youtu.be/FaRbQHlegaM 펄어비스가 검은사막으로 번 돈으로 만든 게임 도깨비다 ㅋㅋㅋㅋ 이런 재투자면 진짜 돈지르는거 1푼도 아깝지 않을듯 킹스레이드로 번 돈으로 나온 게임이 타디인데 너무...
80,"난리난 ""펄어비스 도깨비 트레일러"" : 노래도 게임도 굿",5일 전,"펄어비스의 신작, 도깨비 (Dokev) 트레일러가 공개되었습니다 사실 침착맨이 리니지w 리뷰를 하는것을 보고 ""3D에다가 나쁘지 않은데?"" 생각했었습니다 아~ 하지만 제 착각이었구요 펄어비스 도깨비 보고 감동했습니다 저는..."
81,영상)3N 대놓고 까는 SBS,2일 전,https://youtu.be/5JIAecGs7oI 펄어비스(도깨비)는 주식 올랐는데 3N은 떨어진거 내보냄 ㅋㅋ
82,"국산게임 기대작 ""도깨비""",5일 전,펄어비스의 신작 도깨비 트레일러가 공개되었는데요! 매우 한국적인 배경에! 엄청나게 기대을 끄는 트레일러네요! 어떤게임일지는 모르겠지만! 한국형 포켓몬스터 느낌도 나네요 https://youtu.be/YSEJosSYHFk 트레일러...
83,"펄어비스, 게임스컴에서 도깨비 영상 공개",4일 전,"신작 게임 '도깨비'의 신규 플레이 영상을 공개했습니다. 도깨비는 펄어비스 자체 엔진으로 개발된 신작 게임으로, 현실 같은 가상세계를 구현해 가상세계에서 문화 체험, 소셜, 경제활동 등을 즐기는 메타버스 게임입니다."
